filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,new_happy_2.stopped,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,feedback_miss.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,new_neutral.stopped,deco_left.stopped,deco_right.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,deco_left_fb_2.started,deco_right_fb_2.started,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,new_angry_5.stopped,deco_left_fb_2.stopped,deco_right_fb_2.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,text_2.stopped,CycleText1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,0,0,3,,,,,,,,,,,,,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",11.925611792015843,11.925611792015843,11.925611792015843,13.826260288013145,13.826260288013145,14.718909093004186,15.3701524430071,15.3701524430071,15.3701524430071,15.3701524430071,15.3701524430071,15.3701524430071,15.723092269006884,None,None,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,21.548439556005178,27.655786838004133,27.655786838004133,27.655786838004133,27.655786838004133,27.655786838004133,27.655786838004133,27.655786838004133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,27.655786838004133,28.533524649013998,28.533524649013998,28.533524649013998,28.533524649013998,28.533524649013998,28.533524649013998,28.667274748004274,None,None,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,34.720458849013085,40.830498155002715,40.830498155002715,40.830498155002715,40.830498155002715,40.830498155002715,40.830498155002715,40.830498155002715,34.720458849013085,34.720458849013085,34.720458849013085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,40.830498155002715,41.72751042500022,41.72751042500022,41.72751042500022,41.72751042500022,41.72751042500022,41.72751042500022,41.84400769902277,None,None,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,47.91581912399852,54.02503991802223,54.02503991802223,54.02503991802223,54.02503991802223,54.02503991802223,54.02503991802223,54.02503991802223,47.91581912399852,47.91581912399852,47.91581912399852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,54.02503991802223,54.90422128801583,54.90422128801583,54.90422128801583,54.90422128801583,54.90422128801583,54.90422128801583,55.03763322799932,4.362962962962963,4.582375364989275,58.804029128019465,58.804029128019465,58.804029128019465,58.804029128019465,64.81325511602336,58.804029128019465,58.804029128019465,58.804029128019465,58.804029128019465,58.804029128019465,58.804029128019465,58.804029128019465,64.81325511602336,64.81325511602336,64.81325511602336,64.81325511602336,64.81325511602336,64.81325511602336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,71.46426750600222,72.03485442799865,72.03485442799865,72.03485442799865,72.03485442799865,72.03485442799865,72.03485442799865,72.46825648201047,None,None,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,78.52146539301611,84.94582813899615,84.94582813899615,84.94582813899615,84.94582813899615,84.94582813899615,84.94582813899615,84.94582813899615,,78.52146539301611,78.52146539301611,64.81325511602336,64.81325511602336,69.09904063801514,69.09904063801514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,84.94582813899615,85.51353143301094,85.51353143301094,85.51353143301094,85.51353143301094,85.51353143301094,85.51353143301094,85.94599003600888,None,None,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,91.97989421102102,98.39652291900711,98.39652291900711,98.39652291900711,98.39652291900711,98.39652291900711,98.39652291900711,98.39652291900711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,98.39652291900711,98.9757422300172,98.9757422300172,98.9757422300172,98.9757422300172,98.9757422300172,98.9757422300172,99.40708943799837,None,None,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,105.46318983301171,111.8796541519987,111.8796541519987,111.8796541519987,111.8796541519987,111.8796541519987,111.8796541519987,111.8796541519987,105.46318983301171,105.46318983301171,105.46318983301171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,111.8796541519987,112.45127122302074,112.45127122302074,112.45127122302074,112.45127122302074,112.45127122302074,112.45127122302074,112.88429387001088,4.911111111111111,2.377347681991523,114.75741162800114,114.75741162800114,114.75741162800114,114.75741162800114,,114.75741162800114,114.75741162800114,114.75741162800114,114.75741162800114,114.75741162800114,114.75741162800114,114.75741162800114,120.75807713900576,120.75807713900576,120.75807713900576,120.75807713900576,120.75807713900576,120.75807713900576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,127.12600785001996,127.69805560601526,127.69805560601526,127.69805560601526,127.69805560601526,127.69805560601526,127.69805560601526,128.1303916379984,4.859259259259259,2.411255336017348,,,,,,,,,,,,,,,,,,,,,,,,,,120.75807713900576,120.75807713900576,125.10324896499515,125.10324896499515,125.10324896499515,125.10324896499515,125.10324896499515,125.10324896499515,125.10324896499515,125.10324896499515,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,130.03714028399554,136.03682632700657,136.03682632700657,136.03682632700657,136.03682632700657,136.03682632700657,136.03682632700657,136.03682632700657,136.03682632700657,,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,137.44861950099585,138.02346544901957,138.02346544901957,138.02346544901957,138.02346544901957,138.02346544901957,138.02346544901957,138.4552771440067,4.859259259259259,2.4469548570050392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.39725109000574,140.39725109000574,140.39725109000574,140.39725109000574,,140.39725109000574,140.39725109000574,140.39725109000574,140.39725109000574,140.39725109000574,140.39725109000574,140.39725109000574,146.41112763201818,146.41112763201818,146.41112763201818,146.41112763201818,146.41112763201818,146.41112763201818,146.41112763201818,147.816668347019,,1,1,2022-08-30_15h51.33.685,EmoSexCounterbalanced_fontfix,2022.2.2,59.68688760006403,
