filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_happy_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_angry_5.stopped,new_happy_5.started,deco_left_fb_2.started,deco_right_fb_2.started,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,new_happy_5.stopped,deco_left_fb_2.stopped,deco_right_fb_2.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,text_2.stopped,deco_left.stopped,deco_right.stopped,CycleText1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,0,0,3,,,,,,,,,,,,,,,,,"['kanji/1/c.png', 'kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/d.png']",7.596670965984231,7.596670965984231,7.596670965984231,8.141341526992619,8.141341526992619,9.120147686975542,9.803431195992744,9.803431195992744,9.803431195992744,9.803431195992744,9.803431195992744,9.803431195992744,10.127314773999387,1.7333333333333334,3.4398358350154012,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,12.767831702978583,18.867278950987384,18.867278950987384,18.867278950987384,18.867278950987384,18.867278950987384,18.867278950987384,18.867278950987384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,18.867278950987384,19.752038510981947,19.752038510981947,19.752038510981947,19.752038510981947,19.752038510981947,19.752038510981947,19.86859567798092,4.474074074074074,3.2664168199989945,22.329609674983658,22.329609674983658,22.329609674983658,28.451869093987625,22.329609674983658,22.329609674983658,22.329609674983658,22.329609674983658,22.329609674983658,22.329609674983658,22.329609674983658,22.329609674983658,28.451869093987625,28.451869093987625,28.451869093987625,28.451869093987625,28.451869093987625,28.451869093987625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,28.451869093987625,29.327022853976814,29.327022853976814,29.327022853976814,29.327022853976814,29.327022853976814,29.327022853976814,29.45957503799582,1.711111111111111,2.775285948009696,31.415155381982913,31.415155381982913,31.415155381982913,37.514587632991606,31.415155381982913,31.415155381982913,31.415155381982913,31.415155381982913,31.415155381982913,31.415155381982913,31.415155381982913,31.415155381982913,37.514587632991606,37.514587632991606,37.514587632991606,37.514587632991606,37.514587632991606,37.514587632991606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,37.514587632991606,38.39984392398037,38.39984392398037,38.39984392398037,38.39984392398037,38.39984392398037,38.39984392398037,38.5168705789838,4.474074074074074,1.8657786209951155,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,39.58061517399619,45.58867330697831,45.58867330697831,45.58867330697831,45.58867330697831,45.58867330697831,45.58867330697831,45.58867330697831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,48.14425256400136,48.742171030986356,48.742171030986356,48.742171030986356,48.742171030986356,48.742171030986356,48.742171030986356,49.159332871000515,4.474074074074074,1.860114374983823,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,50.47993757398217,,56.861993369995616,56.861993369995616,56.861993369995616,56.861993369995616,56.861993369995616,56.861993369995616,45.58867330697831,45.58867330697831,47.22264341000118,47.22264341000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,56.861993369995616,57.46453950399882,57.46453950399882,57.46453950399882,57.46453950399882,57.46453950399882,57.46453950399882,57.86579687197809,4.474074074074074,1.1572951569978613,58.48443479498383,58.48443479498383,58.48443479498383,64.8825986449956,58.48443479498383,58.48443479498383,58.48443479498383,58.48443479498383,58.48443479498383,58.48443479498383,58.48443479498383,58.48443479498383,64.8825986449956,64.8825986449956,64.8825986449956,64.8825986449956,64.8825986449956,64.8825986449956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,64.8825986449956,65.47341944498476,65.47341944498476,65.47341944498476,65.47341944498476,65.47341944498476,65.47341944498476,65.88911496900255,4.474074074074074,2.5318982049939223,67.88690674499958,67.88690674499958,67.88690674499958,74.28804174999823,67.88690674499958,67.88690674499958,67.88690674499958,67.88690674499958,67.88690674499958,67.88690674499958,67.88690674499958,67.88690674499958,74.28804174999823,74.28804174999823,74.28804174999823,74.28804174999823,74.28804174999823,74.28804174999823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,74.28804174999823,74.87872433598386,74.87872433598386,74.87872433598386,74.87872433598386,74.87872433598386,74.87872433598386,75.295965169993,4.474074074074074,2.2836428200243972,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,77.07067295297747,,83.08601094098412,83.08601094098412,83.08601094098412,83.08601094098412,83.08601094098412,83.08601094098412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,91.37243704497814,92.20999180598301,92.20999180598301,92.20999180598301,92.20999180598301,92.20999180598301,92.20999180598301,92.37602015997982,4.474074074074074,2.654262666008435,,,,,,,,,,,,,,,,,,,,,,,83.08601094098412,83.08601094098412,86.78040361599415,86.78040361599415,86.78040361599415,86.78040361599415,86.78040361599415,86.78040361599415,86.78040361599415,86.78040361599415,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,94.24021153099602,100.25019859298482,100.25019859298482,100.25019859298482,100.25019859298482,100.25019859298482,100.25019859298482,100.25019859298482,100.25019859298482,101.35500236597727,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,101.35500236597727,102.23405065300176,102.23405065300176,102.23405065300176,102.23405065300176,102.23405065300176,102.23405065300176,102.36807803198462,2.051851851851852,4.346166778996121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,105.91282708899234,111.9262041009788,111.9262041009788,111.9262041009788,111.9262041009788,111.9262041009788,111.9262041009788,111.9262041009788,111.9262041009788,113.04494931499357,,,,1,1,2022-08-30_16h28.15.769,EmoSexCounterbalanced_fontfix,2022.2.2,60.31310741601441,
