filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_happy_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_angry_5.stopped,new_happy_5.started,deco_left_fb_2.started,deco_right_fb_2.started,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,new_happy_5.stopped,deco_left_fb_2.stopped,deco_right_fb_2.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,text_2.stopped,CycleText1.stopped,deco_left.stopped,deco_right.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,0,0,0,,,,,,,,,,,,,,,,,"['kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/a.png', 'kanji/1/d.png']",8.214118780975696,8.214118780975696,8.214118780975696,9.08447679199162,9.08447679199162,9.810454922990175,10.496628995984793,10.496628995984793,10.496628995984793,10.496628995984793,10.496628995984793,10.496628995984793,10.81785046699224,1.8518518518518519,2.356801216985332,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,12.368967568996595,18.475436460983474,18.475436460983474,18.475436460983474,18.475436460983474,18.475436460983474,18.475436460983474,18.475436460983474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,18.475436460983474,19.358253292972222,19.358253292972222,19.358253292972222,19.358253292972222,19.358253292972222,19.358253292972222,19.475233628996648,4.496296296296296,3.200010516011389,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,21.86784119598451,27.9826272209757,27.9826272209757,27.9826272209757,27.9826272209757,27.9826272209757,27.9826272209757,27.9826272209757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,27.9826272209757,28.865885134990094,28.865885134990094,28.865885134990094,28.865885134990094,28.865885134990094,28.865885134990094,28.982941735972418,4.496296296296296,2.6822484340227675,30.85992199598695,30.85992199598695,30.85992199598695,36.97153688198887,30.85992199598695,30.85992199598695,30.85992199598695,30.85992199598695,30.85992199598695,30.85992199598695,30.85992199598695,30.85992199598695,36.97153688198887,36.97153688198887,36.97153688198887,36.97153688198887,36.97153688198887,36.97153688198887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,36.97153688198887,37.85611222498119,37.85611222498119,37.85611222498119,37.85611222498119,37.85611222498119,37.85611222498119,37.97260482099955,4.496296296296296,1.347719733021222,38.514480808982626,38.514480808982626,38.514480808982626,44.529016989981756,38.514480808982626,38.514480808982626,38.514480808982626,38.514480808982626,38.514480808982626,38.514480808982626,38.514480808982626,38.514480808982626,44.529016989981756,44.529016989981756,44.529016989981756,44.529016989981756,44.529016989981756,44.529016989981756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,47.637145809974754,48.23128601798089,48.23128601798089,48.23128601798089,48.23128601798089,48.23128601798089,48.23128601798089,48.64907530898927,1.7555555555555555,2.360573589015985,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,50.48400768099236,,56.86298477899982,56.86298477899982,56.86298477899982,56.86298477899982,56.86298477899982,56.86298477899982,44.529016989981756,44.529016989981756,46.06271023498266,46.06271023498266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,56.86298477899982,57.47321550399647,57.47321550399647,57.47321550399647,57.47321550399647,57.47321550399647,57.47321550399647,57.87264816497918,4.274074074074074,3.581365899008233,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,60.92066020597122,,67.30855030298699,67.30855030298699,67.30855030298699,67.30855030298699,67.30855030298699,67.30855030298699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,67.30855030298699,67.9167273369967,67.9167273369967,67.9167273369967,67.9167273369967,67.9167273369967,67.9167273369967,68.31424114498077,1.4444444444444444,1.7596740360022523,69.56356977799442,69.56356977799442,69.56356977799442,75.94839955499629,69.56356977799442,69.56356977799442,69.56356977799442,69.56356977799442,69.56356977799442,69.56356977799442,69.56356977799442,69.56356977799442,75.94839955499629,75.94839955499629,75.94839955499629,75.94839955499629,75.94839955499629,75.94839955499629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,75.94839955499629,76.55527766098385,76.55527766098385,76.55527766098385,76.55527766098385,76.55527766098385,76.55527766098385,76.95427432999713,4.659259259259259,1.7611720589920878,78.18852184599382,78.18852184599382,78.18852184599382,84.1938453639741,78.18852184599382,78.18852184599382,78.18852184599382,78.18852184599382,78.18852184599382,78.18852184599382,78.18852184599382,78.18852184599382,84.1938453639741,84.1938453639741,84.1938453639741,84.1938453639741,84.1938453639741,84.1938453639741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,90.662913423992,91.46607945699361,91.46607945699361,91.46607945699361,91.46607945699361,91.46607945699361,91.46607945699361,91.66668744399794,1.6074074074074074,2.98815814597765,,,,,,,,,,,,,,,,,,,,,,,84.1938453639741,84.1938453639741,85.63506572699407,85.63506572699407,85.63506572699407,85.63506572699407,85.63506572699407,85.63506572699407,85.63506572699407,85.63506572699407,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,93.86652477399912,99.87321967398748,99.87321967398748,99.87321967398748,99.87321967398748,99.87321967398748,99.87321967398748,99.87321967398748,99.87321967398748,,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,100.9934277899738,101.8585242459958,101.8585242459958,101.8585242459958,101.8585242459958,101.8585242459958,101.8585242459958,102.00757722198614,4.5851851851851855,3.6308877720148303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.84945985197555,104.84945985197555,104.84945985197555,110.84872598797665,104.84945985197555,104.84945985197555,104.84945985197555,104.84945985197555,104.84945985197555,104.84945985197555,104.84945985197555,104.84945985197555,110.84872598797665,110.84872598797665,110.84872598797665,110.84872598797665,110.84872598797665,110.84872598797665,110.84872598797665,111.9681393429928,,,,1,1,2022-08-30_16h38.36.767,EmoSexCounterbalanced_fontfix,2022.2.2,60.14450981346868,
