filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis_training,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross_3.started,new_neutral_3.started,deco_left_2.started,deco_right_2.started,cue_left_2.started,cue_right_2.started,slide_response_2.started,fix_cross_3.stopped,slide_response_2.response,slide_response_2.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_happy_2.started,new_happy_2.stopped,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_angry_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_angry_5.stopped,new_happy_5.started,deco_left_fb_2.started,deco_right_fb_2.started,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,new_happy_5.stopped,deco_left_fb_2.stopped,deco_right_fb_2.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,0,0,3,,,,,,,,,,,,,,,,,"['kanji/training/c.png', 'kanji/training/a.png', 'kanji/training/d.png', 'kanji/training/b.png']","['kanji/1/d.png', 'kanji/1/c.png', 'kanji/1/b.png', 'kanji/1/a.png']",6.750453912973171,6.750453912973171,6.750453912973171,7.194016107998323,7.194016107998323,7.795732425991446,8.609442290995503,8.609442290995503,8.609442290995503,8.609442290995503,8.609442290995503,8.609442290995503,8.81009890398127,1.9037037037037037,2.224213356996188,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,10.220310140983202,16.326782092975918,16.326782092975918,16.326782092975918,16.326782092975918,16.326782092975918,16.326782092975918,16.326782092975918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,16.326782092975918,17.212251436983934,17.212251436983934,17.212251436983934,17.212251436983934,17.212251436983934,17.212251436983934,17.326028009993024,1.9407407407407407,2.116624525981024,18.630406207987107,18.630406207987107,18.630406207987107,18.630406207987107,24.742006633983692,18.630406207987107,18.630406207987107,18.630406207987107,18.630406207987107,18.630406207987107,18.630406207987107,18.630406207987107,24.742006633983692,24.742006633983692,24.742006633983692,24.742006633983692,24.742006633983692,24.742006633983692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,24.742006633983692,25.628920414979802,25.628920414979802,25.628920414979802,25.628920414979802,25.628920414979802,25.628920414979802,25.742883635975886,1.9407407407407407,1.5895944480143953,26.518117647996405,26.518117647996405,26.518117647996405,26.518117647996405,32.625395439972635,26.518117647996405,26.518117647996405,26.518117647996405,26.518117647996405,26.518117647996405,26.518117647996405,26.518117647996405,32.625395439972635,32.625395439972635,32.625395439972635,32.625395439972635,32.625395439972635,32.625395439972635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,32.625395439972635,33.51209677598672,33.51209677598672,33.51209677598672,33.51209677598672,33.51209677598672,33.51209677598672,33.62638926799991,4.4222222222222225,2.2841565650014672,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,35.09114972199313,41.09242068097228,41.09242068097228,41.09242068097228,41.09242068097228,41.09242068097228,41.09242068097228,41.09242068097228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,47.434650747978594,48.06319761899067,48.06319761899067,48.06319761899067,48.06319761899067,48.06319761899067,48.06319761899067,48.44283009599894,4.444444444444445,2.8522428610012867,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,50.71538707698346,,57.10544176399708,57.10544176399708,57.10544176399708,57.10544176399708,57.10544176399708,57.10544176399708,41.09242068097228,41.09242068097228,46.59312231699005,46.59312231699005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,57.10544176399708,57.72367755099549,57.72367755099549,57.72367755099549,57.72367755099549,57.72367755099549,57.72367755099549,58.10929479499464,1.5333333333333334,1.5585012960073072,59.11217570398003,59.11217570398003,59.11217570398003,59.11217570398003,,59.11217570398003,59.11217570398003,59.11217570398003,59.11217570398003,59.11217570398003,59.11217570398003,59.11217570398003,65.5039369139995,65.5039369139995,65.5039369139995,65.5039369139995,65.5039369139995,65.5039369139995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,65.5039369139995,66.12849818199174,66.12849818199174,66.12849818199174,66.12849818199174,66.12849818199174,66.12849818199174,66.50896888098214,4.303703703703704,1.4870268229860812,67.43845829897327,67.43845829897327,67.43845829897327,67.43845829897327,73.82370871998137,67.43845829897327,67.43845829897327,67.43845829897327,67.43845829897327,67.43845829897327,67.43845829897327,67.43845829897327,73.82370871998137,73.82370871998137,73.82370871998137,73.82370871998137,73.82370871998137,73.82370871998137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,73.82370871998137,74.44524625898339,74.44524625898339,74.44524625898339,74.44524625898339,74.44524625898339,74.44524625898339,74.82575655099936,1.5851851851851853,1.319409319985425,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,75.58654237497831,,81.59218822899857,81.59218822899857,81.59218822899857,81.59218822899857,81.59218822899857,81.59218822899857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.59218822899857,81.59218822899857,88.28524157399079,88.28524157399079,88.28524157399079,88.28524157399079,88.28524157399079,88.28524157399079,88.28524157399079,88.28524157399079,96.04953997698613,96.9286803479772,96.9286803479772,96.9286803479772,96.9286803479772,96.9286803479772,96.9286803479772,97.05863266898086,4.444444444444445,3.283738327008905,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,99.53047362098005,105.54178646099172,105.54178646099172,105.54178646099172,105.54178646099172,105.54178646099172,105.54178646099172,105.54178646099172,105.54178646099172,106.64258415898075,1,1,2022-08-31_09h44.10.388,EmoSexCounterbalanced_fontfix,2022.2.2,60.231824944015514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.64258415898075,107.52730364899617,107.52730364899617,107.52730364899617,107.52730364899617,107.52730364899617,107.52730364899617,107.64140905198292,1.6296296296296295,2.0083946759987157,108.84357229198213,108.84357229198213,108.84357229198213,,108.84357229198213,108.84357229198213,108.84357229198213,108.84357229198213,108.84357229198213,108.84357229198213,108.84357229198213,108.84357229198213,,,,,,,,,,,,,,,
