Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,new_happy_2.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,Allesklartext.started,Allesklar_resp.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,B,0,0,0,3,,,,,,,,,,,,,,,,,6.248902152990922,6.248902152990922,6.248902152990922,28.412123833986698,28.412123833986698,29.092610815976514,29.74680655100383,29.74680655100383,29.74680655100383,29.74680655100383,30.103004387987312,1.5407407407407407,1.943900117999874,31.22238841399667,31.22238841399667,31.22238841399667,31.22238841399667,31.22238841399667,31.22238841399667,31.22238841399667,31.22238841399667,31.22238841399667,37.34747823397629,37.34747823397629,37.34747823397629,37.34747823397629,,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,A,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,37.34747823397629,38.21906732299249,38.21906732299249,38.21906732299249,38.21906732299249,38.35246982899844,4.481481481481481,2.45615209301468,39.972190837987,39.972190837987,39.972190837987,39.972190837987,39.972190837987,39.972190837987,39.972190837987,39.972190837987,39.972190837987,46.097967726003844,46.097967726003844,46.097967726003844,46.097967726003844,,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
91,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,B,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,46.097967726003844,46.98567713898956,46.98567713898956,46.98567713898956,46.98567713898956,47.1022595599934,1.5925925925925926,1.6550342770060524,47.926408428000286,47.926408428000286,47.926408428000286,,47.926408428000286,47.926408428000286,47.926408428000286,47.926408428000286,47.926408428000286,54.04857668298064,54.04857668298064,54.04857668298064,54.04857668298064,47.926408428000286,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
99,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,A,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,54.04857668298064,54.935249678994296,54.935249678994296,54.935249678994296,54.935249678994296,55.05212743897573,4.177777777777778,1.5024210970150307,55.72096690299804,55.72096690299804,55.72096690299804,,55.72096690299804,55.72096690299804,55.72096690299804,55.72096690299804,55.72096690299804,61.73521031998098,61.73521031998098,61.73521031998098,61.73521031998098,55.72096690299804,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,63.996954867994646,64.85214905798784,64.85214905798784,64.85214905798784,64.85214905798784,65.00179990800098,1.6814814814814816,1.7258571359852795,65.90508454098017,65.90508454098017,65.90508454098017,65.90508454098017,65.90508454098017,65.90508454098017,65.90508454098017,65.90508454098017,65.90508454098017,72.04041560998303,72.04041560998303,72.04041560998303,72.04041560998303,,61.73521031998098,61.73521031998098,63.48608398399665,63.48608398399665,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,72.04041560998303,72.92167816500296,72.92167816500296,72.92167816500296,72.92167816500296,73.05212944099912,4.274074074074074,1.4357644879783038,73.67321284898208,73.67321284898208,73.67321284898208,73.67321284898208,73.67321284898208,73.67321284898208,73.67321284898208,73.67321284898208,73.67321284898208,79.80575872497866,79.80575872497866,79.80575872497866,79.80575872497866,,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,79.80575872497866,80.67030343800434,80.67030343800434,80.67030343800434,80.67030343800434,80.81878679298097,1.5185185185185186,1.9143237129901536,81.93062760998146,81.93062760998146,81.93062760998146,88.04833696698188,81.93062760998146,81.93062760998146,81.93062760998146,81.93062760998146,81.93062760998146,88.04833696698188,88.04833696698188,88.04833696698188,88.04833696698188,81.93062760998146,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,88.04833696698188,88.92052851899643,88.92052851899643,88.92052851899643,88.92052851899643,89.05126872999244,4.177777777777778,1.6637797120201867,89.90326095299679,89.90326095299679,89.90326095299679,,89.90326095299679,89.90326095299679,89.90326095299679,89.90326095299679,89.90326095299679,95.9177803559869,95.9177803559869,95.9177803559869,95.9177803559869,89.90326095299679,,,,,,,,,,,,,,,,,,,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,99.53896879899548,100.40489301699563,100.40489301699563,100.40489301699563,100.40489301699563,100.55074342299486,1.7851851851851852,1.9396355370117817,101.68426462999196,101.68426462999196,101.68426462999196,101.68426462999196,101.68426462999196,101.68426462999196,101.68426462999196,101.68426462999196,101.68426462999196,107.68430494097993,107.68430494097993,107.68430494097993,107.68430494097993,107.68430494097993,,,,,95.9177803559869,95.9177803559869,97.08465010600048,97.08465010600048,98.1170770089957,98.1170770089957,98.1170770089957,98.1170770089957,98.1170770089957,98.1170770089957,98.1170770089957,98.1170770089957,107.68430494097993,108.81213161197957,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,108.81213161197957,109.66878706400166,109.66878706400166,109.66878706400166,109.66878706400166,109.81734498098376,4.622222222222222,1.724319753004238,110.72047951698187,110.72047951698187,110.72047951698187,110.72047951698187,110.72047951698187,110.72047951698187,110.72047951698187,110.72047951698187,110.72047951698187,116.73439323497587,116.73439323497587,116.73439323497587,116.73439323497587,,,,,,,,,,,,,,,,,,116.73439323497587,117.86238580898498,,001,2022-08-23_16h30.52.541,EmoSexCounterbalanced_fontfix,2022.2.2,59.91145446102462,
