filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,Allesklartext.started,Allesklar_resp.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,new_angry_5.stopped,text_2.stopped,CycleText1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,6.435056370000893,6.435056370000893,6.435056370000893,10.321277722001469,10.321277722001469,10.750630709000689,10.750630709000689,11.274048827001025,11.274048827001025,12.098764670001401,12.098764670001401,12.658320507000099,12.658320507000099,13.501258457999938,13.501258457999938,13.501258457999938,13.501258457999938,13.501258457999938,13.501258457999938,13.501258457999938,13.501258457999938,15.119784344000436,15.773385041000438,15.773385041000438,15.773385041000438,15.773385041000438,16.12436408299982,2.3777777777777778,2.6513111269996443,17.970247949000623,17.970247949000623,17.970247949000623,17.970247949000623,17.970247949000623,17.970247949000623,17.970247949000623,17.970247949000623,17.970247949000623,23.974600881001606,23.974600881001606,23.974600881001606,23.974600881001606,23.974600881001606,,,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,25.084709673999896,25.973209634999876,25.973209634999876,25.973209634999876,25.973209634999876,26.089804643001116,4.4148148148148145,3.4208967610011314,28.685424305000197,28.685424305000197,28.685424305000197,28.685424305000197,34.69083642500118,28.685424305000197,28.685424305000197,28.685424305000197,28.685424305000197,34.69083642500118,34.69083642500118,34.69083642500118,34.69083642500118,34.69083642500118,28.685424305000197,,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,35.801583630000096,36.674613836999924,36.674613836999924,36.674613836999924,36.674613836999924,36.80619505600043,1.9333333333333333,4.520963244000086,40.49495618900073,40.49495618900073,40.49495618900073,40.49495618900073,46.506933379001566,40.49495618900073,40.49495618900073,40.49495618900073,40.49495618900073,46.506933379001566,46.506933379001566,46.506933379001566,46.506933379001566,46.506933379001566,40.49495618900073,,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,47.61060841900144,48.491414882000754,48.491414882000754,48.491414882000754,48.491414882000754,48.62245839700154,1.1925925925925926,3.306258173999595,51.11331884200081,51.11331884200081,51.11331884200081,51.11331884200081,51.11331884200081,51.11331884200081,51.11331884200081,51.11331884200081,51.11331884200081,57.12359137600106,57.12359137600106,57.12359137600106,57.12359137600106,57.12359137600106,,58.225043194001046,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,58.225043194001046,59.10874637000052,59.10874637000052,59.10874637000052,59.10874637000052,59.23939442500159,4.5851851851851855,2.995339953000439,61.418942082000285,61.418942082000285,61.418942082000285,61.418942082000285,,61.418942082000285,61.418942082000285,61.418942082000285,61.418942082000285,67.42278110600091,67.42278110600091,67.42278110600091,67.42278110600091,67.42278110600091,61.418942082000285,68.52244698499999,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,68.52244698499999,69.40747597300106,69.40747597300106,69.40747597300106,69.40747597300106,69.5220232669999,1.2814814814814814,2.899777028000244,71.62054636399989,71.62054636399989,71.62054636399989,71.62054636399989,77.6225702790016,71.62054636399989,71.62054636399989,71.62054636399989,71.62054636399989,77.6225702790016,77.6225702790016,77.6225702790016,77.6225702790016,77.6225702790016,71.62054636399989,,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,78.73598720800146,79.62356538300082,79.62356538300082,79.62356538300082,79.62356538300082,79.7391807640015,1.4,2.328281905998665,81.24172382300094,81.24172382300094,81.24172382300094,81.24172382300094,,81.24172382300094,81.24172382300094,81.24172382300094,81.24172382300094,87.25532258500061,87.25532258500061,87.25532258500061,87.25532258500061,87.25532258500061,81.24172382300094,88.36615134500062,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,88.36615134500062,89.24127627300004,89.24127627300004,89.24127627300004,89.24127627300004,89.37199939400125,1.4,1.9024426979995042,90.4459516750012,90.4459516750012,90.4459516750012,90.4459516750012,96.45518768500006,90.4459516750012,90.4459516750012,90.4459516750012,90.4459516750012,96.45518768500006,96.45518768500006,96.45518768500006,96.45518768500006,96.45518768500006,90.4459516750012,97.56917142200109,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,,,,,,97.56917142200109,98.43997127500006,98.43997127500006,98.43997127500006,98.43997127500006,98.57146223600103,1.4,1.7162673309994716,99.4685621839999,99.4685621839999,99.4685621839999,99.4685621839999,99.4685621839999,99.4685621839999,99.4685621839999,99.4685621839999,99.4685621839999,105.47151348199986,105.47151348199986,105.47151348199986,105.47151348199986,105.47151348199986,105.47151348199986,106.57522947000143,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,2,1,9,3,,,,,,,,,,,,,,,,,,,,,,106.57522947000143,107.45730338500107,107.45730338500107,107.45730338500107,107.45730338500107,107.58741012700011,1.4,1.90796789200067,108.68422444200041,108.68422444200041,108.68422444200041,108.68422444200041,108.68422444200041,108.68422444200041,108.68422444200041,108.68422444200041,108.68422444200041,114.68793795300007,114.68793795300007,114.68793795300007,114.68793795300007,114.68793795300007,,115.78554847600026,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
